Station,S/N,"Street
街名","Street No.
街號","Building Name
大廈名稱","Building Type
樓宇類別","Final/Adjusted Risk Category
最終風險級數
(*remarks)"
TS,157,Chui Tin Street,2,Sun Tsui Estate -              TWGH Wong Fut Nam Secondary School (Ex-Tsung Tsin),Insitutional Building/Others (學校/醫院/其他用途),
TS,158,Chui Tin Street,2,Sun Tsui Estate -              Sun Chui Shopping Centre,Commercial Building (商業大廈),
TS,159,Chui Tin Street,2,Sun Tsui Estate -              Sun Chun House,Domestic Building (住宅),
TS,160,Chui Tin Street,2,Sun Tsui Estate -              Sun Fong House,Domestic Building (住宅),
TS,161,CHUI TIN ST,2,SUN CHUI ESTATE SUN HOK HSE,Domestic Building (住宅),
TS,162,CHUI TIN ST,2,SUN CHUI ESTATE SUN KIT HSE,Domestic Building (住宅),
TS,163,CHUI TIN ST,2,SUN CHUI ESTATE SUN MING HSE,Domestic Building (住宅),
TS,164,CHUI TIN ST,2,SUN CHUI ESTATE SUN WAI HSE,Domestic Building (住宅),
TS,165,CHUI TIN ST,2,SUN CHUI ESTATE SUN YEE HSE,Domestic Building (住宅),
TS,166,CHUI TIN ST,2,SUN CHUI ESTATE SUN YUET HSE,Domestic Building (住宅),
TS,167,FUNG SHEK ST,2,WING SHING HSE (BLK A),Domestic Building (住宅),
TS,168,HIN TAI ST,2,CHOI JUN SCHOOL,Insitutional Building/Others (學校/醫院/其他用途),
TS,169,HIN TIN ST,2,HELEN LIANG MEMORIAL SECONDAY SCHOOL (SHA TIN),Insitutional Building/Others (學校/醫院/其他用途),
TS,170,LUNG PAK ST,15,WORLD-WIDE GARDENS CYPRESS COURT (BLK 2),Domestic Building (住宅),
TS,171,MAN LAI RD,2,SHATIN CLINIC,Insitutional Building/Others (學校/醫院/其他用途),
TS,172,CHIK FAI ST,2,GRANDEUR GARDEN BLK1,Domestic Building (住宅),
TS,173,CHIK FAI ST,2,GRANDEUR GARDEN BLK2,Domestic Building (住宅),
TS,174,CHIK FAI ST,2,GRANDEUR GARDEN BLK3,Domestic Building (住宅),
TS,175,CHIK FAI ST,2,GRANDEUR GARDEN BLK4,Domestic Building (住宅),
TS,176,CHIK FAI ST,2,GRANDEUR GARDEN BLK5,Domestic Building (住宅),
TS,177,CHIK FAI ST,2,GRANDEUR GARDEN BLK6,Domestic Building (住宅),
TS,178,CHIK FAI ST,2,GRANDEUR SHOPPING ARCADE,Insitutional Building/Others (學校/醫院/其他用途),
TS,179,CHIK WAN ST,2,HOLFORD GARDENS FOOK KI COURT (TOWER 3),Domestic Building (住宅),
TS,180,CHIK WAN ST,2,HOLFORD GARDENS SHOPPING CENTRE,Insitutional Building/Others (學校/醫院/其他用途),
TS,181,CHIK WAN ST,2,HOLFORD GARDENS FOOK HEY COURT (TOWER 2),Domestic Building (住宅),
TS,182,CHIK WAN ST,2,HOLFORD GARDENS FOOK SIU COURT (TOWER 1),Domestic Building (住宅),
TS,183,SHING WAN RD,8,BIG ORANGE - TAI WAI HEALTH,Industrial Building/Godown (工廠大廈/倉庫),
TS,184,TIN SAM ST,20,CARADO GARDEN (BLK 1),Domestic Building (住宅),
TS,185,TO FUNG SHAN RD,20,VILLA LE PARC BLOCK G,Domestic Building (住宅),
TS,186,CHIK FUK ST,20,CHIK FUK ST,Composite Building (綜合式樓宇),
TS,187,TAI WAI RD,20,YAN ON BUILDING,Composite Building (綜合式樓宇),
TS,188,SHA TIN HEIGHTS RD,21,HAPPY VIEW HOUSE,Domestic Building (住宅),
TS,189,YAU ON ST,21,LAKEVIEW GARDEN TOWER 1,Domestic Building (住宅),
TS,190,YAU ON ST,21,LAKEVIEW GARDEN TOWER 2,Domestic Building (住宅),
TS,191,YAU ON ST,21,LAKEVIEW GARDEN TOWER 3,Domestic Building (住宅),
TS,192,YAU ON ST,21,LAKEVIEW GARDEN TOWER 4,Domestic Building (住宅),
TS,193,YAU ON ST,21,LAKEVIEW GARDEN TOWER 5,Domestic Building (住宅),
TS,194,YAU ON ST,21,LAKEVIEW GARDEN - HOUSE U,Domestic Building (住宅),
TS,195,SHING WAN RD,21,KINGLET INDUSTRIAL BUILDING,Industrial Building/Godown (工廠大廈/倉庫),
TS,196,CHIK CHUEN ST,22,KAI YUEN BUILDING,Domestic Building (住宅),
TS,197,TIN SAM ST,22,CARADO GARDEN (BLK 2),Domestic Building (住宅),
TS,198,MEI TIN RD,22-26,GLAMOUR GARDEN,Insitutional Building/Others (學校/醫院/其他用途),
TS,199,CHIK SHUN ST,23,KUT HING HSE,Domestic Building (住宅),
TS,200,MAN LAI RD,23,CARITAS SOCIAL CENTRE SHATIN,Insitutional Building/Others (學校/醫院/其他用途),
TS,201,TAI WAI RD,24,FU CHEONG HSE,Domestic Building (住宅),
TS,202,TIN SAM ST,24,CARADO GARDEN (BLK 3),Domestic Building (住宅),
TS,203,TIN SAM VILLAGE,240,240 TIN SAM VILLAGE,Insitutional Building/Others (學校/醫院/其他用途),
TS,204,TIN SAM VILLAGE,249,Wistful Cafe,Insitutional Building/Others (學校/醫院/其他用途),
TS,205,KENG HAU RD,25,THE BLOSSOM,Domestic Building (住宅),
TS,206,MEI TIN RD,25,MEI CHUNG COURT FU CHUNG HSE (BLK A),Domestic Building (住宅),
TS,207,SHING WAN RD,25/27,SHING CHUEN INDUSTRIAL BUILDING,Industrial Building/Godown (工廠大廈/倉庫),
TS,208,TIN SAM ST,26,CARADO GARDEN (BLK 4),Domestic Building (住宅),
TS,209,MEI TIN RD,27,MEI CHUNG COURT LAI CHUNG HSE (BLK B),Domestic Building (住宅),
TS,210,CHIK CHUEN ST,28,LIN KING HSE,Domestic Building (住宅),
TS,211,TIN SAM ST,28,CARADO GARDEN (BLK 5),Domestic Building (住宅),
TS,212,TAI WAI RD,28/30,CHUNG PAK LAU,Domestic Building (住宅),
TS,213,MEI TIN RD,29,MEI CHUNG COURT HING CHUNG HSE (BLK C),Domestic Building (住宅),
TS,214,Sha Tin Tau Road,29,Sun Tin Wai Estate Foo Wai House,Domestic Building (住宅),
TS,215,Sha Tin Tau Road,29,Sun Tin Wai Estate Fook Wai House,Domestic Building (住宅),
TS,216,Sha Tin Tau Road,29,Sun Tin Wai Estate Sha Tin Methodist College,Insitutional Building/Others (學校/醫院/其他用途),
TS,217,Sha Tin Tau Road,29,Sun Tin Wai Estate Shing Wai House,Domestic Building (住宅),
TS,218,Sha Tin Tau Road,29,Sun Tin Wai Estate Sun Tin Wai Shopping Centre,Commercial Building (商業大廈),
TS,219,Sha Tin Tau Road,29,Sun Tin Wai Estate Wing Wai House,Domestic Building (住宅),
TS,220,Sha Tin Tau Road,29,Sun Tin Wai Estate Yan Wai House,Domestic Building (住宅),
TS,221,Sha Tin Tau Road,29,Sun Tin Wai Estate Yu Wai House,Domestic Building (住宅),
TS,222,Sha Tin Tau Road,29,Sun Tin Wai Estate Bus Terminus,Insitutional Building/Others (學校/醫院/其他用途),
TS,223,Sha Tin Tau Road,29,Sun Tin Wai Estate Sun Tin Wai Shopping Centre,Commercial Building (商業大廈),
TS,224,Shing Ho Road,29,Ping Yuen,Composite Building (綜合式樓宇),
TS,225,Tai Wai Road,29,Kam Shan Building (Block 1),Composite Building (綜合式樓宇),
TS,226,Tung Lo Wan Hill Road,29,29 Tung Lo Wan Hill Road,Domestic Building (住宅),
TS,227,Sha Tin Heights Road,29/31,Chase Villa,Domestic Building (住宅),
TS,228,Hin Tin Street,3,Ka Tin Court Ka Yin House (Block C),Domestic Building (住宅),
TS,229,Mei Tin Road,30,Mei Lam Estate Buddhist Wong Wan Tin College,Insitutional Building/Others (學校/醫院/其他用途),
TS,230,Mei Tin Road,30,Mei Lam Estate Lock Tao Secondary School,Insitutional Building/Others (學校/醫院/其他用途),
TS,231,Mei Tin Road,30,Mei Lam Estate Mei Fung House,Domestic Building (住宅),
TS,232,Mei Tin Road,30,Mei Lam Estate Mei Wai House,Domestic Building (住宅),
TS,233,Mei Tin Road,30,Mei Lam Estate Mei Yeung House,Domestic Building (住宅),
TS,234,Mei Tin Road,30,Mei Lam Estate Mei Lam Shopping Centre,Commercial Building (商業大廈),
TS,235,Mei Tin Road,30,Mei Lam Estate Mei Lam Sports Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,236,Mei Tin Road,30,Mei Lam Estate Mei Tao House,Domestic Building (住宅),
TS,237,Mei Tin Road,30,Mei Lam Estate Sung Lan Middle School,Insitutional Building/Others (學校/醫院/其他用途),
TS,238,Mei Tin Road,30,Mei Lam Estate T.W.G.Hs. Tam Shiu Primary School,Insitutional Building/Others (學校/醫院/其他用途),
TS,239,Tin Sam Street,30,Carado Garden (Block 6),Domestic Building (住宅),
TS,240,Chik Fu Street,31,Rich Court,Domestic Building (住宅),
TS,241,Mei Tin Road,31,Mei Chung Court Shing Chung House (Block D),Domestic Building (住宅),
TS,242,Man Lai Road,31/33,Immaculate Heart Of Mary Kindergarten,Insitutional Building/Others (學校/醫院/其他用途),
TS,243,Chik Chuen Street,32,Lin King House,Composite Building (綜合式樓宇),
TS,244,Mei Tin Road,32,May Shing Court Kwai Shing House (Block A),Domestic Building (住宅),
TS,245,Tai Wai Village,32,32 Tai Wai Village,Domestic Building (住宅),
TS,246,Chik Fu Street,33,Chik Hong Mansion,Composite Building (綜合式樓宇),
TS,247,Mei Tin Road,33,Mei Chung Court Hong Chung House (Block E),Domestic Building (住宅),
TS,248,To Fung Shan Road,33,33 To Fung Shan Road,Insitutional Building/Others (學校/醫院/其他用途),
TS,249,Tung Lo Wan Hill Road,33,33 Tung Lo Wan Hill Road,Insitutional Building/Others (學校/醫院/其他用途),
TS,250,Chik Chuen Street,34,On Fu Mansion,Composite Building (綜合式樓宇),
TS,251,Mei Tin Road,34,May Shing Court Yat Shing House (Block B),Domestic Building (住宅),
TS,252,Mei Tin Road,35,Mei Chung Court Lok Chung House (Block F),Domestic Building (住宅),
TS,253,Tsuen Nam Road,35,Grandway Garden (Block 3),Domestic Building (住宅),
TS,254,Man Lai Road,35/37,Immaculate Heart Of Mary School,Insitutional Building/Others (學校/醫院/其他用途),
TS,255,Chik Fu Street,35/47,Chik Kin Mansion,Composite Building (綜合式樓宇),
TS,256,First Street Tai Wai Village,36,Block A,Domestic Building (住宅),
TS,257,First Street Tai Wai Village,36,Block B,Domestic Building (住宅),
TS,258,"First Street, Tai Wai Village",36,"36 First Street, Tai Wai Village",Domestic Building (住宅),
TS,259,Mei Tin Road,36,May Shing Court Fai Shing House (Block C),Domestic Building (住宅),
TS,260,Mei Tin Road,36,May Shing Court Fai Shing House (Block C),Domestic Building (住宅),
TS,261,Tai Wai Road,37/47,Yiu Po Mansion,Composite Building (綜合式樓宇),
TS,262,Chik Fuk Street,38,T.W.G.Hs. Sin Chu Wan Primary School,Insitutional Building/Others (學校/醫院/其他用途),
TS,263,Chik Chuen Street,38/44,Ka Chuen House,Composite Building (綜合式樓宇),
TS,264,Man Lai Road,39,Caritas Lok Jun School,Insitutional Building/Others (學校/醫院/其他用途),
TS,265,Sha Tin Heights Road,39/41,Ascot Villa,Domestic Building (住宅),
TS,266,West Lane Tai Wai Village,39A,39A West Lane Tai Wai Village,Domestic Building (住宅),
TS,267,Chik Fuk Street,4,4 Chik Fuk Street,Composite Building (綜合式樓宇),
TS,268,Chik Sau Lane,4,Cheung Hing Mansion,Domestic Building (住宅),
TS,269,Fung Shek Street,4,Fung Shing Court Wah Shing House (Block B),Domestic Building (住宅),
TS,270,Hin Tin Street,4,Ka Tin Court Ka Wing House (Block F),Domestic Building (住宅),
TS,271,Lung Pak Street,4,World-Wide Gardens Begonia Court (Block 1),Domestic Building (住宅),
TS,272,Tsuen Nam Road,41,Tai On Building,Composite Building (綜合式樓宇),
TS,273,West Lane Tai Wai Village,41,41 West Lane Tai Wai Village,Domestic Building (住宅),
TS,274,Tai Wai Road,42,Ka Po House,Domestic Building (住宅),
TS,275,Man Lai Road,43,Man Lai Court (Block 4),Domestic Building (住宅),
TS,276,Tsuen Nam Road,43,Tai On Building,Composite Building (綜合式樓宇),
TS,277,Man Lai Road,45,Man Lai Court (Block 3),Domestic Building (住宅),
TS,278,Tai Wai Road,46,Mei Lun House,Composite Building (綜合式樓宇),
TS,279,Man Lai Road,47,Man Lai Court (Block 2),Domestic Building (住宅),
TS,280,Tai Wai Road,48,Yue Huen House,Composite Building (綜合式樓宇),
TS,281,Man Lai Road,49,Man Lai Court (Block 1),Domestic Building (住宅),
TS,282,Tai Wai Road,49/53,Yuet On Building,Composite Building (綜合式樓宇),
TS,283,Chik Fu Street,49-55,On Ting Mansion,Composite Building (綜合式樓宇),
TS,284,First Street Tai Wai Village,5,Block A,Domestic Building (住宅),
TS,285,First Street Tai Wai Village,5,Block B,Domestic Building (住宅),
TS,286,First Street Tai Wai Village,5,Block C,Domestic Building (住宅),
TS,287,Hang Lok Lane,5,Harmony Lodge House 1,Domestic Building (住宅),
TS,288,Hang Lok Lane,5,Harmony Lodge House 10,Domestic Building (住宅),
TS,289,Hang Lok Lane,5,Harmony Lodge House 11,Domestic Building (住宅),
TS,290,Hang Lok Lane,5,Harmony Lodge House 12,Domestic Building (住宅),
TS,291,Hang Lok Lane,5,Harmony Lodge House 12a,Domestic Building (住宅),
TS,292,Hang Lok Lane,5,Harmony Lodge House 14,Domestic Building (住宅),
TS,293,Hang Lok Lane,5,Harmony Lodge House 16,Domestic Building (住宅),
TS,294,Hang Lok Lane,5,Harmony Lodge House 17,Domestic Building (住宅),
TS,295,Hang Lok Lane,5,Harmony Lodge House 19,Domestic Building (住宅),
TS,296,Hang Lok Lane,5,Harmony Lodge House 2,Domestic Building (住宅),
TS,297,Hang Lok Lane,5,Harmony Lodge House 20,Domestic Building (住宅),
TS,298,Hang Lok Lane,5,Harmony Lodge House 3,Domestic Building (住宅),
TS,299,Hang Lok Lane,5,Harmony Lodge House 4,Domestic Building (住宅),
TS,300,Hang Lok Lane,5,Harmony Lodge House 5,Domestic Building (住宅),
TS,301,Hang Lok Lane,5,Harmony Lodge House 6,Domestic Building (住宅),
TS,302,Hang Lok Lane,5,Harmony Lodge House 7,Domestic Building (住宅),
TS,303,Hang Lok Lane,5,Harmony Lodge House 8,Domestic Building (住宅),
TS,304,Hang Lok Lane,5,Harmony Lodge House 9,Domestic Building (住宅),
TS,305,Hin Wo Lane,5,Hin Keng Neighbourhood Community Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,306,Lung Pak Street,5,World-Wide Gardens Pine Court (Block 6),Domestic Building (住宅),
TS,307,Chui Tin Street,5/7,Golden Lion Garden Phase I Golden Beauty Court (Block B),Domestic Building (住宅),
TS,308,Chui Tin Street,5/7,Golden Lion Garden Phase I Golden Carnival Court (Block D),Domestic Building (住宅),
TS,309,Chui Tin Street,5/7,Golden Lion Garden Phase I Golden Glory Court (Block E),Domestic Building (住宅),
TS,310,Chui Tin Street,5/7,Golden Lion Garden Phase I Golden Harmony Court (Block C),Domestic Building (住宅),
TS,311,Chui Tin Street,5/7,Golden Lion Garden Phase I Golden Harvest Court (Block F),Domestic Building (住宅),
TS,312,Chui Tin Street,5/7,Golden Lion Garden Phase I Golden Healthy Court (Block A),Domestic Building (住宅),
TS,313,Lung Pak Street,5/9,World-Wide Gardens Pine Court Hibiscus Court & Lily Court,Domestic Building (住宅),
TS,314,Sha Tin Heights Road,5/9,Mount Pleasure,Domestic Building (住宅),
TS,315,Tai Wai Road,50,Yee Shuen Mansion,Composite Building (綜合式樓宇),
TS,316,Tsuen Nam Road,51,Tai On Building,Composite Building (綜合式樓宇),
TS,317,Chik Shun Street,53,Yung Woon Building,Composite Building (綜合式樓宇),
TS,318,Tsuen Nam Road,53,Kam Cheung Building,Composite Building (綜合式樓宇),
TS,319,Tai Wai Road,54-58,Lai Ming House,Composite Building (綜合式樓宇),
TS,320,Tai Wai Road,55/65,Grandeur Garden Grandeur Shopping Arcade,Insitutional Building/Others (學校/醫院/其他用途),
TS,321,Chik Fu Street,57/69,Chik Fu Mansion,Composite Building (綜合式樓宇),
TS,322,Chik Shun Street,59,Chik Shun Building,Composite Building (綜合式樓宇),
TS,323,Ninth Street Tai Wai Village,5AB,5AB Ninth Street Tai Wai Village,Domestic Building (住宅),
TS,324,Fung Shek Street,6,Fung Shing Court Fu Shing House (Block C),Domestic Building (住宅),
TS,325,Hin Tin Street,6,Ka Tin Court Ka Yee House (Block E),Domestic Building (住宅),
TS,326,Tenth Street Tai Wai Village,6,6 Tenth Street Tai Wai Village,Composite Building (綜合式樓宇),
TS,327,Chik Chuen Street,60/68,60/68 Chik Chuen Street,Composite Building (綜合式樓宇),
TS,328,Tsuen Nam Road,61,Kam Cheong Building,Composite Building (綜合式樓宇),
TS,329,Tsuen Nam Road,63,Kam Cheong Building,Composite Building (綜合式樓宇),
TS,330,Tsuen Nam Road,65/69,Wing Fu Building,Composite Building (綜合式樓宇),
TS,331,Chik Shun Street,66,66 Chik Shun Street,Composite Building (綜合式樓宇),
TS,332,Tai Wai Road,66/68/70/72,Wah Mee House,Composite Building (綜合式樓宇),
TS,333,Che Kung Miu Road,68,Hin Tin Swimming Pool,Insitutional Building/Others (學校/醫院/其他用途),
TS,334,Che Kung Miu Road,69,Hin Keng Estate Carmel Alison Lam Primary School,Insitutional Building/Others (學校/醫院/其他用途),
TS,335,Che Kung Miu Road,69,Hin Keng Estate Hin Fu House (Block 8),Domestic Building (住宅),
TS,336,Che Kung Miu Road,69,Hin Keng Estate Hin Hing House (Block 4),Domestic Building (住宅),
TS,337,Che Kung Miu Road,69,Hin Keng Estate Hin Keng Shopping Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,338,Che Kung Miu Road,69,Hin Keng Estate Hin Kwai House (Block 7),Domestic Building (住宅),
TS,339,Che Kung Miu Road,69,Hin Keng Estate Hin Pui House (Block 1),Domestic Building (住宅),
TS,340,Che Kung Miu Road,69,Hin Keng Estate Hin Tak House (Block 2),Domestic Building (住宅),
TS,341,Che Kung Miu Road,69,Hin Keng Estate Hin Wan House (Block 6),Domestic Building (住宅),
TS,342,Che Kung Miu Road,69,Hin Keng Estate Hin Yau House (Block 5),Domestic Building (住宅),
TS,343,Che Kung Miu Road,69,Hin Keng Estate Hin Yeung House (Block 3),Domestic Building (住宅),
TS,344,Che Kung Miu Road,69,Hin Keng Estate Hin Fu House (Block 8),Domestic Building (住宅),
TS,345,Che Kung Miu Road,69,Hin Keng Estate Hin Hing House (Block 4),Domestic Building (住宅),
TS,346,Che Kung Miu Road,69,Hin Keng Estate Hin Keng Shopping Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,347,Che Kung Miu Road,69,Hin Keng Estate Hin Keng Sports Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,348,Che Kung Miu Road,69,Hin Keng Estate Hin Pui House (Block 1),Domestic Building (住宅),
TS,349,Che Kung Miu Road,69,Hin Keng Estate Hin Tak House (Block 2),Domestic Building (住宅),
TS,350,Hang Lok Lane,7,Mantex Villa House 1,Domestic Building (住宅),
TS,351,Hang Lok Lane,7,Mantex Villa House 10,Domestic Building (住宅),
TS,352,Hang Lok Lane,7,Mantex Villa House 11,Domestic Building (住宅),
TS,353,Hang Lok Lane,7,Mantex Villa House 2,Domestic Building (住宅),
TS,354,Hang Lok Lane,7,Mantex Villa House 3,Domestic Building (住宅),
TS,355,Hang Lok Lane,7,Mantex Villa House 4,Domestic Building (住宅),
TS,356,Hang Lok Lane,7,Mantex Villa House 5,Domestic Building (住宅),
TS,357,Hang Lok Lane,7,Mantex Villa House 6,Domestic Building (住宅),
TS,358,Hang Lok Lane,7,Mantex Villa House 7,Domestic Building (住宅),
TS,359,Hang Lok Lane,7,Mantex Villa House 8,Domestic Building (住宅),
TS,360,Hang Lok Lane,7,Mantex Villa House 9,Domestic Building (住宅),
TS,361,Lung Pak Street,7,World-Wide Gardens Hibiscus Court (Block 5),Domestic Building (住宅),
TS,362,Tai Wai Road,7,Kam Shan Building (Block 2),Composite Building (綜合式樓宇),
TS,363,Yau Ting Street,7,Po Leung Kuk Li Shiu Chung Memorial Rehabilitation Centre,Insitutional Building/Others (學校/醫院/其他用途),
TS,364,Chik Fai Street,7/9,Hing Shing Building,Composite Building (綜合式樓宇),
TS,365,Chik Chuen Street,70,King Sing House,Composite Building (綜合式樓宇),
TS,366,Chik Fu Street,71,Rich Mansion,Composite Building (綜合式樓宇),
TS,367,Tsuen Nam Road,71/75,Moon Wah Mansion,Composite Building (綜合式樓宇),
TS,368,Chik Chuen Street,74,Hing Wan House,Composite Building (綜合式樓宇),
TS,369,Tai Wai Road,74,Shu Tak Building,Composite Building (綜合式樓宇),
TS,370,Chik Shun Street,75,Lap Wo House,Composite Building (綜合式樓宇),
TS,371,Tsuen Nam Road,77,Lai Sing Mansion,Composite Building (綜合式樓宇),
TS,372,Chik Chuen Street,78,Kong Yip House,Composite Building (綜合式樓宇),
TS,373,Hang Lok Lane,8,Man Lin Villa,Domestic Building (住宅),
TS,374,Hin Tai Street,8,Parc Royale Tower 1,Domestic Building (住宅),
TS,375,Hin Tai Street,8,Parc Royale Tower 10,Domestic Building (住宅),
TS,376,Hin Tai Street,8,Parc Royale Tower 11,Domestic Building (住宅),
TS,377,Hin Tai Street,8,Parc Royale Tower 12,Domestic Building (住宅),
